Company,TypeName,Ram,Weight,Price,Cpu_brand,Gpu_brand,Os,avg_battery_health,avg_daily_usage,avg_charging_cycles
dell,Notebook,8,2.2,10.660172753900062,Intel Core i5,AMD,Windows,80.875,6.625,503.75
dell,Ultrabook,8,1.88,11.144140923496169,Intel Core i7,Intel,Windows,80.875,6.625,503.75
hp,Notebook,8,2.5,10.773501439207063,Intel Core i5,Nvidia,Windows,80.77777777777777,5.333333333333333,504.44444444444446
asus,Notebook,2,1.65,9.268865850956626,AMD Processor,AMD,Windows,70.125,8.125,691.25
hp,Notebook,4,2.71,10.060060439307303,AMD Processor,AMD,Windows,80.77777777777777,5.333333333333333,504.44444444444446
dell,Ultrabook,16,1.2,11.508719833687696,Intel Core i7,Intel,Windows,80.875,6.625,503.75
apple,Ultrabook,8,1.35,10.881314302543595,Intel Core i5,Intel,Mac,89.55555555555556,7.111111111111111,408.8888888888889
lenovo,Notebook,4,1.44,9.49301392269684,Other Intel Processor,Intel,Windows,79.125,6.625,536.25
acer,Notebook,4,2.1,9.880922874286703,Intel Core i3,Intel,Others,79.25,5.875,531.25
dell,Notebook,8,2.8,10.862092668762644,Intel Core i5,AMD,Windows,80.875,6.625,503.75
hp,Notebook,4,1.86,10.167289367847482,Intel Core i5,Intel,Windows,80.77777777777777,5.333333333333333,504.44444444444446
hp,Notebook,8,2.1,10.754345923917311,Intel Core i5,Nvidia,Windows,80.77777777777777,5.333333333333333,504.44444444444446
asus,Notebook,4,2.0,9.93914036985058,Intel Core i3,Intel,Others,70.125,8.125,691.25
dell,Gaming,16,2.65,11.288114524334732,Intel Core i7,Nvidia,Windows,80.875,6.625,503.75
asus,Notebook,8,2.3,10.235123369655367,Intel Core i5,Nvidia,Others,70.125,8.125,691.25
acer,Notebook,4,2.2,10.500590684075595,Intel Core i5,Intel,Windows,79.25,5.875,531.25
dell,2 in 1 Convertible,12,2.77,10.882315804880689,Intel Core i5,Nvidia,Windows,80.875,6.625,503.75
apple,Ultrabook,8,1.37,11.233268703392175,Intel Core i5,Intel,Mac,89.55555555555556,7.111111111111111,408.8888888888889
lenovo,Notebook,4,2.2,9.88635767027266,Intel Core i3,Intel,Others,79.125,6.625,536.25
asus,Gaming,8,3.2,11.144911042902732,AMD Processor,AMD,Windows,70.125,8.125,691.25
dell,Notebook,4,2.3,10.435465480609668,Intel Core i5,AMD,Windows,80.875,6.625,503.75
asus,Notebook,4,2.8,10.11974666035778,Other Intel Processor,Nvidia,Windows,70.125,8.125,691.25
lenovo,2 in 1 Convertible,4,0.69,9.74075212901698,Other Intel Processor,Intel,Others,79.125,6.625,536.25
acer,Notebook,8,2.2,10.71015268620508,Intel Core i7,Nvidia,Windows,79.25,5.875,531.25
hp,Notebook,4,1.86,9.963243430044656,AMD Processor,AMD,Windows,80.77777777777777,5.333333333333333,504.44444444444446
hp,Notebook,8,1.49,10.981350045485636,Intel Core i7,Intel,Windows,80.77777777777777,5.333333333333333,504.44444444444446
acer,Notebook,4,2.4,9.92620357881986,Intel Core i3,Intel,Windows,79.25,5.875,531.25
dell,Notebook,8,2.13,10.619090308798832,Intel Core i7,AMD,Windows,80.875,6.625,503.75
hp,Notebook,4,1.91,10.060060439307303,Intel Core i3,Intel,Windows,80.77777777777777,5.333333333333333,504.44444444444446
asus,Notebook,4,2.0,10.349204995339194,Intel Core i5,Intel,Windows,70.125,8.125,691.25
asus,Notebook,4,2.0,10.003839546462832,Intel Core i3,Intel,Others,70.125,8.125,691.25
dell,Notebook,16,2.8,11.144911042902732,Intel Core i7,AMD,Windows,80.875,6.625,503.75
dell,Ultrabook,8,1.7,10.754345923917311,Intel Core i5,Intel,Windows,80.875,6.625,503.75
lenovo,Notebook,8,1.7,10.370822624347584,Intel Core i3,Intel,Others,79.125,6.625,536.25
asus,Notebook,8,1.4,10.822504165817511,Intel Core i5,Intel,Windows,70.125,8.125,691.25
hp,Notebook,8,1.86,10.51225262382344,Intel Core i5,Intel,Windows,80.77777777777777,5.333333333333333,504.44444444444446
asus,Ultrabook,16,1.8,11.56792715475193,Intel Core i7,Nvidia,Windows,70.125,8.125,691.25
hp,Notebook,4,1.86,10.059354039524033,Intel Core i3,AMD,Windows,80.77777777777777,5.333333333333333,504.44444444444446
hp,Notebook,4,1.44,9.409283029786373,Other Intel Processor,Intel,Windows,80.77777777777777,5.333333333333333,504.44444444444446
lenovo,Notebook,4,1.9,10.283659467741664,Intel Core i5,Intel,Windows,79.125,6.625,536.25
asus,Gaming,12,3.0,10.83096982484206,Intel Core i7,Nvidia,Others,70.125,8.125,691.25
dell,Ultrabook,8,1.4,10.837272366712863,Intel Core i7,AMD,Windows,80.875,6.625,503.75
dell,Notebook,8,2.2,10.744054237880762,Intel Core i7,AMD,Windows,80.875,6.625,503.75
acer,Notebook,8,2.1,9.93914036985058,Intel Core i3,Intel,Windows,79.25,5.875,531.25
asus,Gaming,8,2.2,10.83096982484206,Intel Core i7,Nvidia,Windows,70.125,8.125,691.25
lenovo,Notebook,8,2.2,10.227464909398025,Intel Core i5,Intel,Others,79.125,6.625,536.25
dell,Notebook,8,2.02,10.726662495168894,Intel Core i7,Intel,Windows,80.875,6.625,503.75
acer,Notebook,4,2.2,10.2484380327783,Intel Core i3,Nvidia,Windows,79.25,5.875,531.25
hp,Notebook,8,2.5,10.860047678274915,Intel Core i5,Nvidia,Windows,80.77777777777777,5.333333333333333,504.44444444444446
dell,Ultrabook,8,1.88,10.975129468486722,Intel Core i5,Intel,Windows,80.875,6.625,503.75
apple,Ultrabook,8,0.92,11.295425956041104,Intel Core i5,Intel,Mac,89.55555555555556,7.111111111111111,408.8888888888889
hp,Notebook,8,1.63,10.732493415479688,Intel Core i5,Intel,Windows,80.77777777777777,5.333333333333333,504.44444444444446
lenovo,Notebook,4,2.2,9.964522443121997,AMD Processor,AMD,Windows,79.125,6.625,536.25
acer,Notebook,4,2.1,9.954446791133256,AMD Processor,AMD,Windows,79.25,5.875,531.25
dell,Gaming,16,2.65,11.18267988243989,Intel Core i7,Nvidia,Windows,80.875,6.625,503.75
hp,Ultrabook,8,1.83,10.525211768465944,Intel Core i7,Nvidia,Windows,80.77777777777777,5.333333333333333,504.44444444444446
hp,Notebook,8,1.96,10.370805929717411,Intel Core i5,Intel,Windows,80.77777777777777,5.333333333333333,504.44444444444446
asus,Gaming,16,2.2,11.254189968552817,Intel Core i7,Nvidia,Windows,70.125,8.125,691.25
dell,Ultrabook,8,1.21,11.383485348791732,Intel Core i7,Intel,Windows,80.875,6.625,503.75
asus,Gaming,8,2.45,10.525211768465944,AMD Processor,AMD,Windows,70.125,8.125,691.25
acer,Notebook,8,2.2,10.510802297245792,Intel Core i7,Nvidia,Windows,79.25,5.875,531.25
hp,Notebook,16,1.49,11.063134731790107,Intel Core i7,Intel,Windows,80.77777777777777,5.333333333333333,504.44444444444446
dell,Gaming,8,2.65,11.061462490597744,Intel Core i5,Nvidia,Windows,80.875,6.625,503.75
asus,Ultrabook,8,1.25,10.931153634628432,Intel Core i7,Intel,Windows,70.125,8.125,691.25
acer,2 in 1 Convertible,8,1.5,10.717261720884188,Intel Core i5,Intel,Windows,79.25,5.875,531.25
dell,Notebook,8,2.2,10.37232400089118,Intel Core i7,AMD,Others,80.875,6.625,503.75
dell,Notebook,4,2.2,10.159709917169616,Intel Core i3,AMD,Others,80.875,6.625,503.75
asus,Notebook,6,2.0,10.333403292740233,Intel Core i3,Nvidia,Windows,70.125,8.125,691.25
hp,Gaming,12,2.62,11.105659536357711,Intel Core i7,Nvidia,Windows,80.77777777777777,5.333333333333333,504.44444444444446
hp,Notebook,8,1.91,10.55342238395318,Intel Core i7,AMD,Windows,80.77777777777777,5.333333333333333,504.44444444444446
hp,Notebook,4,2.1,9.83063294843456,AMD Processor,AMD,Windows,80.77777777777777,5.333333333333333,504.44444444444446
dell,Notebook,8,2.2,10.447907320733034,Intel Core i5,AMD,Others,80.875,6.625,503.75
hp,Ultrabook,8,1.38,10.99575173454406,Intel Core i7,Nvidia,Windows,80.77777777777777,5.333333333333333,504.44444444444446
hp,Notebook,6,1.58,10.46628456073464,Intel Core i5,Nvidia,Windows,80.77777777777777,5.333333333333333,504.44444444444446
lenovo,Notebook,4,1.85,10.003598553570956,Intel Core i3,Intel,Windows,79.125,6.625,536.25
asus,Ultrabook,8,1.3,11.05978744833005,Intel Core i7,Nvidia,Windows,70.125,8.125,691.25
lenovo,Notebook,8,1.58,11.275358392990295,Intel Core i7,Intel,Windows,79.125,6.625,536.25
asus,Ultrabook,16,1.5,11.116014069333293,Intel Core i7,Nvidia,Windows,70.125,8.125,691.25
dell,Ultrabook,8,1.23,11.204674904025437,Intel Core i7,Intel,Windows,80.875,6.625,503.75
lenovo,2 in 1 Convertible,8,1.37,11.219074000897615,Intel Core i5,Intel,Windows,79.125,6.625,536.25
hp,Notebook,4,1.63,10.55758616512496,Intel Core i5,Intel,Windows,80.77777777777777,5.333333333333333,504.44444444444446
dell,Ultrabook,8,1.21,11.37128263483418,Intel Core i5,Intel,Windows,80.875,6.625,503.75
hp,2 in 1 Convertible,8,1.26,11.219066852909238,Intel Core i5,Intel,Windows,80.77777777777777,5.333333333333333,504.44444444444446
hp,Notebook,8,1.63,10.963974208231726,Intel Core i7,Intel,Windows,80.77777777777777,5.333333333333333,504.44444444444446
dell,Notebook,8,2.16,11.005825930702713,Intel Core i7,Nvidia,Windows,80.875,6.625,503.75
asus,Notebook,4,2.0,10.310615277730191,Intel Core i3,Nvidia,Windows,70.125,8.125,691.25
asus,Notebook,8,1.7,10.994857679947176,Intel Core i7,Nvidia,Windows,70.125,8.125,691.25
acer,Notebook,6,2.1,10.147261623643049,Intel Core i3,Intel,Windows,79.25,5.875,531.25
lenovo,Notebook,8,2.2,10.419692282932576,Intel Core i5,Nvidia,Others,79.125,6.625,536.25
hp,Notebook,16,2.5,11.123120297421588,Intel Core i7,Nvidia,Windows,80.77777777777777,5.333333333333333,504.44444444444446
acer,Notebook,4,2.1,10.087028365734811,AMD Processor,AMD,Windows,79.25,5.875,531.25
hp,Notebook,4,1.86,9.532389087931673,Other Intel Processor,Intel,Others,80.77777777777777,5.333333333333333,504.44444444444446
hp,Notebook,8,1.63,10.675061366393813,Intel Core i5,Intel,Windows,80.77777777777777,5.333333333333333,504.44444444444446
asus,Notebook,4,1.65,9.603146168052769,AMD Processor,AMD,Windows,70.125,8.125,691.25
dell,Notebook,16,2.8,11.216927309554451,Intel Core i7,AMD,Windows,80.875,6.625,503.75
hp,Notebook,8,2.5,10.808592759018332,Intel Core i5,Intel,Windows,80.77777777777777,5.333333333333333,504.44444444444446
dell,Notebook,8,2.36,10.435449831034946,Intel Core i5,AMD,Windows,80.875,6.625,503.75
dell,Notebook,4,2.2,10.082583913974387,Intel Core i3,AMD,Windows,80.875,6.625,503.75
acer,Ultrabook,8,1.6,10.760018088869778,Intel Core i7,Intel,Windows,79.25,5.875,531.25
acer,Notebook,4,2.2,10.324700017611931,Intel Core i3,Nvidia,Windows,79.25,5.875,531.25
hp,Notebook,8,2.05,10.369151780182763,Intel Core i7,Intel,Windows,80.77777777777777,5.333333333333333,504.44444444444446
hp,Notebook,8,1.63,10.87124372398,Intel Core i7,Intel,Windows,80.77777777777777,5.333333333333333,504.44444444444446
lenovo,Notebook,4,1.9,9.506417665734745,Other Intel Processor,Intel,Others,79.125,6.625,536.25
asus,Gaming,8,3.0,10.81931097523836,Intel Core i5,Nvidia,Windows,70.125,8.125,691.25
lenovo,Notebook,4,2.2,10.188167121983652,Intel Core i5,Nvidia,Others,79.125,6.625,536.25
hp,Notebook,4,1.32,10.525211768465944,Intel Core i5,Intel,Windows,80.77777777777777,5.333333333333333,504.44444444444446
acer,Notebook,4,3.0,10.460196261867386,Intel Core i3,Nvidia,Windows,79.25,5.875,531.25
lenovo,Notebook,8,1.75,10.99308509015976,Intel Core i5,AMD,Windows,79.125,6.625,536.25
lenovo,Gaming,8,2.4,10.742904151497523,Intel Core i7,Nvidia,Others,79.125,6.625,536.25
hp,Notebook,4,1.86,9.88635767027266,AMD Processor,AMD,Windows,80.77777777777777,5.333333333333333,504.44444444444446
asus,Ultrabook,8,1.25,10.977716980635757,Intel Core i7,Intel,Windows,70.125,8.125,691.25
hp,Ultrabook,8,0.97,11.583439099510642,Other Intel Processor,Intel,Windows,80.77777777777777,5.333333333333333,504.44444444444446
asus,Notebook,4,2.0,9.816202683605532,Other Intel Processor,Intel,Windows,70.125,8.125,691.25
acer,Notebook,4,2.1,10.078119620845705,Intel Core i3,Intel,Windows,79.25,5.875,531.25
dell,Gaming,16,2.56,11.105867681227291,Intel Core i7,Nvidia,Windows,80.875,6.625,503.75
dell,Gaming,8,2.62,10.776844060703754,Intel Core i7,Nvidia,Windows,80.875,6.625,503.75
lenovo,Notebook,4,1.9,10.186161103256786,Intel Core i5,Intel,Windows,79.125,6.625,536.25
hp,Ultrabook,4,1.48,10.96212748563856,Intel Core i5,Intel,Windows,80.77777777777777,5.333333333333333,504.44444444444446
hp,Notebook,6,1.91,10.403666298916727,Intel Core i5,AMD,Windows,80.77777777777777,5.333333333333333,504.44444444444446
lenovo,2 in 1 Convertible,4,1.74,10.419692282932576,Intel Core i3,Intel,Windows,79.125,6.625,536.25
asus,2 in 1 Convertible,8,1.1,11.157152970844,Intel Core i5,Intel,Windows,70.125,8.125,691.25
dell,2 in 1 Convertible,8,1.56,10.931153634628432,Intel Core i7,Intel,Windows,80.875,6.625,503.75
asus,Notebook,4,2.03,9.974497588178815,AMD Processor,AMD,Windows,70.125,8.125,691.25
acer,Notebook,4,3.0,10.666403303650696,Intel Core i5,Nvidia,Windows,79.25,5.875,531.25
dell,Notebook,8,2.13,10.56586207442882,Intel Core i5,AMD,Windows,80.875,6.625,503.75
lenovo,Gaming,16,2.5,10.959350991490268,Intel Core i7,Nvidia,Windows,79.125,6.625,536.25
acer,Notebook,4,2.1,9.827763506006608,Other Intel Processor,Intel,Windows,79.25,5.875,531.25
acer,Notebook,4,2.1,9.871367833143674,Other Intel Processor,Intel,Windows,79.25,5.875,531.25
dell,Gaming,8,2.56,10.942047370678033,Intel Core i7,Nvidia,Windows,80.875,6.625,503.75
acer,Notebook,8,3.0,10.725492220020705,Intel Core i5,Nvidia,Windows,79.25,5.875,531.25
hp,Notebook,4,1.49,10.60095339424009,Intel Core i5,Intel,Windows,80.77777777777777,5.333333333333333,504.44444444444446
hp,Notebook,6,2.71,10.525211768465944,Intel Core i5,AMD,Windows,80.77777777777777,5.333333333333333,504.44444444444446
lenovo,Notebook,4,2.2,9.70890230312988,AMD Processor,AMD,Others,79.125,6.625,536.25
hp,Notebook,8,2.5,10.803190260734986,Intel Core i5,Nvidia,Windows,80.77777777777777,5.333333333333333,504.44444444444446
dell,Notebook,8,2.3,10.104611236292678,Intel Core i3,Intel,Windows,80.875,6.625,503.75
acer,Notebook,4,2.1,10.082583913974387,Intel Core i3,Intel,Windows,79.25,5.875,531.25
lenovo,Notebook,8,1.9,10.676292135779944,Intel Core i5,AMD,Windows,79.125,6.625,536.25
hp,2 in 1 Convertible,8,1.29,11.288114524334732,Intel Core i5,Intel,Windows,80.77777777777777,5.333333333333333,504.44444444444446
dell,Notebook,16,2.02,10.931153634628432,Intel Core i7,AMD,Others,80.875,6.625,503.75
dell,Ultrabook,8,1.23,11.219074000897615,Intel Core i5,Intel,Windows,80.875,6.625,503.75
lenovo,2 in 1 Convertible,16,1.4,11.49796125761926,Intel Core i7,Intel,Windows,79.125,6.625,536.25
dell,Notebook,16,2.77,11.320925866649002,Intel Core i7,Nvidia,Windows,80.875,6.625,503.75
dell,Notebook,16,2.06,11.757534260666516,Intel Core i7,Nvidia,Windows,80.875,6.625,503.75
lenovo,Gaming,8,2.4,10.633572072102885,Intel Core i5,Nvidia,Others,79.125,6.625,536.25
acer,Ultrabook,8,1.12,10.872255357854844,Intel Core i5,Intel,Windows,79.25,5.875,531.25
dell,Notebook,8,2.8,10.964896292206694,Intel Core i7,AMD,Windows,80.875,6.625,503.75
lenovo,2 in 1 Convertible,16,1.42,11.921470624845266,Intel Core i7,Intel,Windows,79.125,6.625,536.25
lenovo,Notebook,8,2.8,10.523780128994506,Intel Core i5,Nvidia,Others,79.125,6.625,536.25
dell,2 in 1 Convertible,8,1.62,10.70777173269934,Intel Core i7,Intel,Windows,80.875,6.625,503.75
hp,Notebook,8,2.5,10.793391597686284,Intel Core i5,Nvidia,Windows,80.77777777777777,5.333333333333333,504.44444444444446
hp,Notebook,8,1.49,10.841452101115571,Intel Core i5,Intel,Windows,80.77777777777777,5.333333333333333,504.44444444444446
hp,Gaming,16,3.35,11.204674904025437,Intel Core i7,Nvidia,Windows,80.77777777777777,5.333333333333333,504.44444444444446
hp,Notebook,8,2.5,10.927333190631044,Intel Core i7,Nvidia,Windows,80.77777777777777,5.333333333333333,504.44444444444446
dell,Gaming,16,2.65,11.495795582706762,Intel Core i7,Nvidia,Windows,80.875,6.625,503.75
lenovo,Notebook,4,2.1,10.176070200274824,Intel Core i5,Intel,Windows,79.125,6.625,536.25
acer,Notebook,8,2.23,10.584910269399517,Intel Core i7,Nvidia,Windows,79.25,5.875,531.25
lenovo,Gaming,16,3.2,11.442360501250736,Intel Core i7,Nvidia,Windows,79.125,6.625,536.25
dell,Workstation,16,2.8,12.000095897837827,Other Intel Processor,Nvidia,Windows,80.875,6.625,503.75
lenovo,Gaming,16,2.4,11.21835894902589,Intel Core i7,Nvidia,Others,79.125,6.625,536.25
dell,Notebook,6,2.3,10.060060439307303,Intel Core i3,Intel,Windows,80.875,6.625,503.75
dell,Ultrabook,8,1.21,11.550632725739694,Intel Core i7,Intel,Windows,80.875,6.625,503.75
dell,Ultrabook,8,1.2,11.254189968552817,Intel Core i7,Intel,Windows,80.875,6.625,503.75
lenovo,Notebook,8,2.2,10.367478139624737,Intel Core i5,Intel,Windows,79.125,6.625,536.25
acer,Notebook,8,2.4,10.633572072102885,Intel Core i7,Nvidia,Others,79.25,5.875,531.25
asus,Gaming,16,2.9,11.224776083346525,Intel Core i7,Nvidia,Windows,70.125,8.125,691.25
hp,Notebook,4,2.1,9.83063294843456,Intel Core i3,Intel,Others,80.77777777777777,5.333333333333333,504.44444444444446
lenovo,Notebook,8,2.2,10.283659467741664,Intel Core i5,Intel,Others,79.125,6.625,536.25
dell,Ultrabook,8,1.4,10.812765077263236,Intel Core i7,AMD,Windows,80.875,6.625,503.75
lenovo,Notebook,8,2.8,10.35398720988372,Intel Core i5,Nvidia,Others,79.125,6.625,536.25
hp,Notebook,8,1.63,10.913845510249091,Intel Core i7,Nvidia,Windows,80.77777777777777,5.333333333333333,504.44444444444446
dell,Ultrabook,8,1.6,11.02220830408089,Intel Core i5,Intel,Windows,80.875,6.625,503.75
dell,2 in 1 Convertible,16,1.62,11.129394827810977,Intel Core i7,Intel,Windows,80.875,6.625,503.75
dell,Notebook,8,2.2,10.49374915225888,Intel Core i5,AMD,Others,80.875,6.625,503.75
lenovo,2 in 1 Convertible,8,1.74,10.776844060703754,Intel Core i5,Intel,Windows,79.125,6.625,536.25
hp,Notebook,8,2.1,10.65264448747927,Intel Core i5,Intel,Windows,80.77777777777777,5.333333333333333,504.44444444444446
dell,Gaming,16,4.42,11.781988742399806,Intel Core i7,Nvidia,Windows,80.875,6.625,503.75
acer,Notebook,8,2.2,10.699393467053342,Intel Core i7,Nvidia,Windows,79.25,5.875,531.25
dell,Notebook,16,2.3,10.731341589592168,Intel Core i7,AMD,Windows,80.875,6.625,503.75
asus,Notebook,8,2.0,10.620651995737775,Intel Core i5,Nvidia,Windows,70.125,8.125,691.25
asus,Notebook,8,2.69,10.767905453702944,Intel Core i5,Nvidia,Windows,70.125,8.125,691.25
hp,Notebook,8,1.9,11.12154549394652,Intel Core i7,AMD,Windows,80.77777777777777,5.333333333333333,504.44444444444446
asus,Notebook,4,2.37,9.964497380151284,Intel Core i3,Intel,Windows,70.125,8.125,691.25
hp,Notebook,4,2.1,9.77465368069266,AMD Processor,AMD,Windows,80.77777777777777,5.333333333333333,504.44444444444446
lenovo,Gaming,16,3.2,11.288114524334732,Intel Core i7,Nvidia,Windows,79.125,6.625,536.25
dell,Notebook,8,1.6,10.73132994821639,Intel Core i5,Intel,Windows,80.875,6.625,503.75
acer,2 in 1 Convertible,8,1.6,10.510802297245792,Intel Core i5,Intel,Windows,79.25,5.875,531.25
dell,Notebook,16,2.36,10.776844060703754,Intel Core i7,AMD,Others,80.875,6.625,503.75
acer,Notebook,4,2.1,9.941707765355826,Intel Core i3,Intel,Others,79.25,5.875,531.25
asus,Notebook,4,2.2,10.329931067029484,AMD Processor,AMD,Windows,70.125,8.125,691.25
asus,Gaming,32,4.7,12.241725462844624,Intel Core i7,Nvidia,Windows,70.125,8.125,691.25
acer,Gaming,8,2.5,10.716080385838357,Intel Core i5,Nvidia,Windows,79.25,5.875,531.25
lenovo,Notebook,8,2.2,10.35398720988372,Intel Core i3,Intel,Windows,79.125,6.625,536.25
asus,Notebook,8,2.1,11.018720942220474,Intel Core i7,Nvidia,Windows,70.125,8.125,691.25
asus,Notebook,8,2.69,10.765658261746038,Intel Core i7,Nvidia,Others,70.125,8.125,691.25
dell,Gaming,8,2.56,10.754345923917311,Intel Core i5,Nvidia,Windows,80.875,6.625,503.75
lenovo,2 in 1 Convertible,8,1.38,10.959350991490268,Intel Core i7,Intel,Windows,79.125,6.625,536.25
dell,Notebook,8,2.2,10.868202667404224,Intel Core i7,AMD,Windows,80.875,6.625,503.75
hp,Notebook,8,2.04,10.301710499387234,Intel Core i5,Intel,Windows,80.77777777777777,5.333333333333333,504.44444444444446
asus,Gaming,16,3.6,11.981595204981144,Intel Core i7,Nvidia,Windows,70.125,8.125,691.25
hp,Notebook,4,1.49,10.490273717104664,Intel Core i5,Intel,Windows,80.77777777777777,5.333333333333333,504.44444444444446
apple,Ultrabook,8,1.37,11.596266113070396,Intel Core i5,Intel,Mac,89.55555555555556,7.111111111111111,408.8888888888889
dell,2 in 1 Convertible,8,2.08,10.683645110085203,Intel Core i7,Intel,Windows,80.875,6.625,503.75
asus,Gaming,16,4.3,11.470547260182666,Intel Core i7,Nvidia,Windows,70.125,8.125,691.25
asus,Notebook,4,1.68,10.126163794678414,AMD Processor,AMD,Windows,70.125,8.125,691.25
lenovo,2 in 1 Convertible,8,1.37,11.49796125761926,Intel Core i7,Intel,Windows,79.125,6.625,536.25
acer,Notebook,4,3.0,10.529494430257945,Intel Core i3,Nvidia,Windows,79.25,5.875,531.25
dell,Ultrabook,8,1.41,10.83096982484206,Intel Core i5,Intel,Windows,80.875,6.625,503.75
hp,Notebook,8,1.91,10.075655737865564,AMD Processor,AMD,Windows,80.77777777777777,5.333333333333333,504.44444444444446
hp,Notebook,16,2.9,10.94064137183354,Intel Core i7,Nvidia,Windows,80.77777777777777,5.333333333333333,504.44444444444446
lenovo,2 in 1 Convertible,8,2.0,11.413356147904066,Intel Core i7,Nvidia,Windows,79.125,6.625,536.25
dell,Notebook,8,2.8,11.016097416448089,Intel Core i7,AMD,Windows,80.875,6.625,503.75
lenovo,Notebook,4,2.2,10.07138558866436,Intel Core i3,Intel,Others,79.125,6.625,536.25
hp,Notebook,4,2.1,10.55758616512496,Intel Core i5,Intel,Windows,80.77777777777777,5.333333333333333,504.44444444444446
dell,Notebook,4,2.18,10.463245044716745,Intel Core i5,Intel,Windows,80.875,6.625,503.75
dell,Notebook,8,2.24,10.312386757378574,Intel Core i5,AMD,Windows,80.875,6.625,503.75
dell,2 in 1 Convertible,8,2.67,10.658921971998408,Intel Core i5,Intel,Windows,80.875,6.625,503.75
asus,2 in 1 Convertible,8,1.1,11.288114524334732,Intel Core i7,Intel,Windows,70.125,8.125,691.25
lenovo,Notebook,4,2.2,10.121890283901031,Intel Core i5,Intel,Others,79.125,6.625,536.25
hp,Notebook,8,2.5,10.901156223342602,Intel Core i7,Nvidia,Windows,80.77777777777777,5.333333333333333,504.44444444444446
lenovo,Notebook,8,2.05,10.755482933704386,Intel Core i7,Intel,Windows,79.125,6.625,536.25
apple,Ultrabook,8,1.37,11.555699396421488,Intel Core i5,Intel,Mac,89.55555555555556,7.111111111111111,408.8888888888889
asus,Gaming,16,3.2,11.320925866649002,AMD Processor,AMD,Windows,70.125,8.125,691.25
dell,Notebook,8,2.14,10.57552675900535,Intel Core i7,AMD,Others,80.875,6.625,503.75
lenovo,2 in 1 Convertible,16,1.36,11.799206957067089,Intel Core i7,Intel,Windows,79.125,6.625,536.25
